id,eps_X,eps_T,eps_D,eps_U,eps_P,eps_L,eps_H,eps_A,eps_Y
1,1,0,-0.09053445479281351,-0.6207633702013099,0.2785868922855563,0.3794323092497478,-0.548157662297369,0.7673839238643613,0.16205948139083695
2,2,1,0.32529246087944963,-0.18550323912902994,0.031171579403487634,-0.31774691260400856,0.06634934074619467,-0.33018707350878107,-0.3868370287284106
3,3,0,0.02583609630441644,-1.1020022610026043,0.38827894011301634,0.1556140937564872,0.3251900250346701,0.9599789961414898,0.5994707954956301
4,3,2,0.9509689367635178,-0.5302390820608294,0.4988004856212282,-0.3931943519099671,0.24127720602616562,1.1608089926657768,-0.031947729627785304
5,0,2,-0.04635199022615588,-0.48336532199433124,-0.4490733381610156,0.7821626415623195,0.05968837693196425,-0.07859839304022548,0.0858205867136768
6,0,1,-0.9604706866842526,-0.20325445093694428,0.21567156032443288,0.22166229352418976,-0.12160149936983831,0.5010028159458224,-0.3736509086703041
7,3,2,-0.13687303079254978,1.1178731726142543,-0.5373893413155831,0.1434627447044392,0.06887603340160393,-0.11913022888847943,-0.30087732799885136
8,3,1,-0.4211436170977836,1.4689794930267184,-0.0544875073647138,-0.2833873148068458,0.22271805648002915,-0.12323144313426074,0.10078418357636144
9,0,0,0.35471580127956426,-0.8282854795627475,0.28513190711756486,0.46406262468657394,0.3746840712350306,-0.1753403349160507,0.2792845354929318
10,1,1,-0.2268834752701899,0.5808011651634236,0.5918664545446016,-0.17297924980391033,0.4593246095485714,0.2756183172754243,0.4423410185736936
11,3,0,0.05912467579837796,0.36553307103604005,-0.03180840881745513,-0.15664427456999871,-0.2827810412051214,0.9071379787432411,-0.40424635707452194
12,1,1,-0.8192225686478722,0.5505158213820099,-0.1796130076184524,0.12910860155356674,-0.11987248723804292,0.2598336004492259,-0.43405894269823075
13,1,0,-0.47576721218282825,0.4042716233765863,-0.13396655066879984,-0.34983456650823985,-0.1728132323513317,-0.6267618750548485,0.2807909990268579
14,3,1,-0.04853689516244774,-0.1596700079475227,0.283221392643283,-0.10501815902367037,-0.1253229999932867,-0.41359797861052205,-0.2991178229385196
15,1,1,-0.2889053186708195,0.13260786092289198,-0.017016535202926952,0.27182422349460267,0.211008945388688,0.41669242526965167,0.393498660794565
16,1,2,-0.1105563720850554,0.3726405915272193,-0.14881713400440327,0.08866486797379425,0.41379071215546426,0.10021969588756488,0.9142584798978752
17,2,0,0.6983101938964241,-0.6465357862753836,0.3963087306533544,0.5564887341919874,-0.23149710678784996,0.34659607065964254,-0.1444167115203088
18,2,1,-0.7441310324303337,-0.16248854735282556,-0.22930126629886838,0.26186928037370605,0.3307993400152211,-0.007515466223043277,-0.10076080426280681
19,0,2,-0.7273630558946748,0.04892959277830167,0.7063665331742784,0.6926641460451533,0.5927618473639188,0.5512874038184362,0.16781003392479568
20,0,0,0.5412921870187053,0.7728784240480564,0.05764406127003433,-1.073512962618734,-0.5733349736077288,-0.30097523052305397,-0.5058926758140553
21,3,1,-0.007389600731826554,0.3175369757667641,-0.6394944971730139,0.014544370348348143,-0.4165469434390829,0.6535474967501118,0.26869034589129454
22,3,1,-0.46564660114723333,-0.6267409595252954,0.4497062006344523,0.825319436331948,0.3954660137750502,0.19436846691831694,-0.4196534138935341
23,3,1,0.07684928001910354,0.09985921372682013,0.28360439303800117,0.6685200998086617,-0.011358641423245702,1.005642164827415,0.07983536926482211
24,2,2,0.34999225746529206,-0.1638556281040002,0.06103502973753989,0.1969453202982237,0.6337439990585035,0.07005093542046102,0.28124451545831014
25,3,1,-0.48193929190456397,-0.2550426482709928,0.126803396880631,-0.45909491826945364,-0.4844014068029614,-1.0145023252324792,-0.018566437382587432
26,1,1,0.3503214735389245,-0.13747528235756523,0.0942111199448411,-0.4708865958095192,0.3091226164173744,-0.05158823505829854,-0.7537812126765272
27,1,0,-0.1880611652669828,-0.3254819452276371,-0.5353626963736273,-0.42525472157373667,-0.03815227754469721,-0.06551813519878394,-0.40218584279034675
28,3,1,0.5930477186730155,0.2046969531437661,-0.6280938643000626,0.5503099011976186,0.3546050993361034,0.17176798923436565,-0.23004453109842474
29,0,2,-1.2127351978174832,0.1537100496839474,-0.009527799506331914,-0.10726411318153213,0.11981857421419811,0.06738101414237388,-0.39773035970546755
