id,template_id,persona_id,P_quantile,X_quantile
1,32,93,0.0661730816055276,0.7310302638277362
2,38,87,0.4324330752483032,0.9227409889396213
3,49,68,0.1110146366693816,0.5115090823948739
4,25,5,0.8999980977285091,0.18894866660042264
5,10,50,0.6879298196703171,0.3246078111599935
6,11,99,0.5246510238661904,0.31598039738909867
7,50,1,0.41463571571668467,0.8171517543256545
8,24,8,0.16884840933905332,0.45195135580225576
9,8,88,0.3340160577210276,0.0602084079088665
10,5,65,0.06352085204667535,0.6256758496521503
