id,template_id,persona_id,P_quantile,X_quantile
1,32,93,0.0661730816055276,0.7310302638277362
2,38,87,0.4324330752483032,0.9227409889396213
3,49,68,0.1110146366693816,0.5115090823948739
4,25,5,0.8999980977285091,0.18894866660042264
5,10,50,0.6879298196703171,0.3246078111599935
6,11,99,0.5246510238661904,0.31598039738909867
7,50,1,0.41463571571668467,0.8171517543256545
8,24,8,0.16884840933905332,0.45195135580225576
9,8,88,0.3340160577210276,0.0602084079088665
10,5,65,0.06352085204667535,0.6256758496521503
11,34,30,0.2732077208477762,0.7101846451509247
12,48,6,0.16654403124140638,0.41398944505335067
13,36,55,0.6117835986087646,0.6487867029247978
14,10,90,0.2542830504927306,0.902271556691986
15,23,62,0.7189212804985631,0.5505192575563475
16,27,9,0.06227268801482588,0.19928806271920552
17,1,92,0.895178304294958,0.8313821399708236
18,38,95,0.5210713542365915,0.8866799908214443
19,11,54,0.07796652366349621,0.3649461652475746
20,46,76,0.34554707398373863,0.8876842953952637
21,49,13,0.6417981167115058,0.029868274611561718
22,31,24,0.053313118951846206,0.8844417437741563
23,35,51,0.5904003536699739,0.9651233215429053
24,36,69,0.48589883234110287,0.03762770318325481
25,3,92,0.1392171141787183,0.45296475131455005
26,37,56,0.02312001154715626,0.7080144267254687
27,30,27,0.21420444819401085,0.8878195443065775
28,28,60,0.8241537330665051,0.6783768779193667
29,45,90,0.15996277287852922,0.5893302975829513
30,47,58,0.25302111856196474,0.567113279857898
31,17,93,0.9954868682900333,0.7484484649678416
32,21,12,0.550697201787817,0.5343336322634913
33,44,59,0.2887524777688797,0.6973805368531281
34,42,66,0.9383815669545922,0.21894913008154882
35,1,53,0.35601284473869577,0.9106375783945337
36,9,64,0.14490363365287762,0.009187861339158832
37,30,14,0.4706393951942093,0.3835098029207986
38,17,45,0.18596124118568558,0.13781395016448794
39,19,70,0.3573610989375918,0.821641372654876
40,42,73,0.4346219913665298,0.4412049075330685
41,40,78,0.3581408053324949,0.8087209054646556
42,40,64,0.9245164101398246,0.7836800571342711
43,44,18,0.34318076743370574,0.3615005307665726
44,22,39,0.18088779011946543,0.7016450744333668
45,14,27,0.9661951769844522,0.501042538762455
46,1,13,0.2554658881903151,0.8468417654714997
47,21,31,0.19357614551721214,0.4870262168615852
48,45,36,0.6388700613311175,0.24035577886984394
49,46,78,0.23381342490200419,0.6478617731389936
50,5,27,0.43493380514669255,0.7014037554793743
51,20,45,0.10755908863919206,0.1648930684019968
52,13,62,0.022048454643640802,0.8108187527907261
53,30,20,0.7621766025322035,0.8391666926964764
54,28,3,0.8205641350604921,0.5515880653101318
55,47,98,0.506706035614431,0.4160916777899091
56,27,14,0.7099864506261003,0.3691408977163816
57,37,63,0.6888426598327904,0.704397587101846
58,46,2,0.7629813335870246,0.9999007555458762
59,46,8,0.08253234914536667,0.8074156438901106
60,47,97,0.06387440775015885,0.5410773481413317
